Id,SalePrice
2658,129202.77506342693
2718,175461.69541926592
2414,239929.50523992974
1989,121894.89419779467
625,197804.36888360346
333,88071.04524296764
1327,91013.9669376369
858,134644.2769556821
95,191023.2774345893
1568,163233.39507177143
2482,176161.65370318486
1364,121290.21141042345
2584,148207.35102867443
818,315219.3756763311
2673,151550.92163323378
2089,102227.989706411
1297,189335.55185149083
790,119226.97891222901
2616,183861.39817913398
720,225616.37418612585
222,144555.01514277278
557,130864.13297444273
1148,209845.59009947177
2766,173551.8247311233
534,194383.425472868
1452,99112.02677174512
630,138877.17836934756
2648,136019.1060558976
125,156626.54859038276
1904,54708.16902439951
1670,90861.77858596388
756,103860.75394949637
717,238922.8467126677
1032,159185.50116199427
852,221746.6894143068
1731,189825.66632437267
2639,99837.5542932406
2071,60955.12828804302
1267,129246.67927164695
1851,196391.73825059683
567,172027.3815873551
2439,239718.08538433802
1898,149700.2293834667
647,167036.9513913285
2256,231416.5213933968
979,91565.76756661214
1444,237241.10659613277
2485,117473.65358081329
157,113466.12874757397
88,117200.76765683477
2003,113327.45266131527
186,211236.42259002043
1425,255763.1063836844
2695,129970.05600399137
738,109332.05395853287
395,148122.45735444225
1353,174545.4021437477
1878,135663.39258780872
390,159725.4945285062
1456,253093.78741661037
1103,272999.47044204606
1387,128639.46266993743
2070,154246.41125381592
1199,176336.86275352587
2479,194780.94544904525
501,298356.22961505724
2362,74516.82844647742
1718,200777.59613715272
2188,78927.47398152237
1483,167700.82045675648
2557,87869.61132303864
437,345166.38014752406
2224,198213.73406145294
1628,210940.5338835749
397,140173.9646108724
587,196575.85329832436
971,123704.68873007927
2611,133122.08448493335
1887,70954.58574030572
2399,335124.1646560404
2148,220022.71363016337
304,116810.20397130516
1997,137865.56805735163
2817,144432.35960869928
1431,203761.05723466774
427,338701.3345466021
263,118983.02818824985
598,178989.58255530134
2895,232155.87201982873
687,131441.04666564346
1822,128730.10328613681
2191,95294.11896842995
179,119019.85510501533
1009,224877.39569029587
2010,119985.46592580527
1991,164172.5574333088
1411,152723.3477374594
1721,233487.4850477594
1144,211780.22055668614
593,231378.29029224857
575,286244.1775010779
1249,187582.11895668527
1604,108644.1627535316
1064,403449.8372789165
1923,170588.97766298478
1988,89724.44725853606
2325,185922.57501024482
114,211244.0370724166
2700,164636.43105192957
217,112436.28572650749
343,178222.09770454207
386,243512.6145588867
2005,100927.96393312133
2908,121413.1153861641
1814,228860.94056749434
2446,421404.10293010494
208,173291.04808624502
1679,125143.64259717922
822,330919.5818594729
6,191355.12867430298
1781,357444.73394108156
2397,280273.24778117903
2340,284853.91570577596
1618,169957.4723860378
2843,139189.16536711378
1061,342915.342106335
2786,107805.44256787232
1935,129822.44978124538
1341,131419.0075651519
521,271980.32926539716
2136,142948.28656719023
996,206201.43056459064
227,159629.44433376362
135,158513.93501600233
1167,165686.81905963333
294,230201.13768080602
1776,199617.84589726813
540,193840.79879564818
1717,200775.20697500304
2303,122787.50172839387
116,173640.02382046485
127,132070.35222816846
1371,131869.61929187545
1014,200069.94775448905
1507,77094.23623726622
702,151949.09546915573
750,163213.0539982271
261,149100.9989412022
1559,78081.54635051408
577,214255.96208199984
2812,216878.21691227632
2080,150944.9173098259
1368,108521.34213401264
2376,119058.46467075072
659,125260.87354529032
1235,115167.77910351712
332,80589.88663336233
1917,131702.92402589464
2094,279832.049060441
